"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
9.67907050062409e-113,1.39430328806769,0.977,0.62,3.16873410049431e-108,"0","LTB"
1.18096252570247e-108,1.28352421100449,0.934,0.435,3.86623511664474e-104,"0","IL32"
3.1479387945234e-99,1.1553737296594,0.955,0.589,1.03057220255107e-94,"0","LDHB"
1.63247968780262e-98,1.63042570296145,0.754,0.295,5.34441200192821e-94,"0","IL7R"
3.96459632761101e-77,2.33752871866041,0.414,0.092,1.29792954573329e-72,"0","AQP3"
3.02730926349413e-67,1.62904262353355,0.614,0.228,9.91080506682709e-63,"0","CD2"
1.70048401010019e-59,1.77661416904277,0.397,0.105,5.56704455226599e-55,"0","TRAT1"
1.27853008040984e-53,2.26781770698584,0.273,0.053,4.18565177724574e-49,"0","CD40LG"
3.65037939178965e-42,1.7718352219067,0.36,0.122,1.1950612052841e-37,"0","TRADD"
5.58978720747553e-40,1.40163179386161,0.405,0.149,1.82998453598334e-35,"0","SPOCK2"
9.61830956917887e-37,1.5030718225025,0.288,0.087,3.14884218675778e-32,"0","MAL"
9.07683798711119e-32,1.23183162251159,0.334,0.123,2.97157522022046e-27,"0","FLT3LG"
1.95726159005455e-31,1.26263929112209,0.267,0.084,6.40768299352059e-27,"0","ITM2A"
4.8193057221181e-31,1.51328528068494,0.276,0.09,1.57774430730702e-26,"0","TTC39C"
7.00182679458037e-29,1.40587821188864,0.286,0.101,2.29225805600972e-24,"0","SIT1"
1.13794637748766e-26,1.18254568027718,0.43,0.203,3.7254088506191e-22,"0","TNFAIP8"
4.22853578005482e-26,1.56764386192685,0.275,0.103,1.38433804367435e-21,"0","SUSD3"
2.72388053537747e-23,1.5580546763663,0.291,0.128,8.91744009671876e-19,"0","CORO1B"
5.06595153000324e-23,1.45437954812743,0.27,0.105,1.65849121189246e-18,"0","OPTN"
5.17974402631452e-14,1.15315500400386,0.365,0.217,1.69574459933485e-09,"0","SLC2A3"
1.25303404839983e-92,2.46265550209237,0.493,0.119,4.10218286765137e-88,"1","CCR7"
1.08328925581902e-77,1.0281434739559,0.894,0.618,3.5464723657003e-73,"1","LDHB"
1.25759835215876e-58,0.998290748776014,0.841,0.436,4.11712548529735e-54,"1","CD3D"
2.21480866388157e-46,1.96927750207248,0.359,0.115,7.25084060381547e-42,"1","LEF1"
1.64289513726951e-40,1.91910169798461,0.35,0.121,5.37851010039293e-36,"1","PRKCQ-AS1"
